Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0010176740304066,-0.00160349371590989,0.0789280634320502,0,0,0,4.06425207718803,0.011888264404141,2.19115724720298E-05,4.36799830555761E-06,0.0130181756354306,-5.43500412982131E-07,0.018709872116092,0,0,0,0,0,0,package://amr_urdf_v3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/base_link.STL,,25C1010-1;25C1003-1/DC Planet Geared Motor-1;25C1003-1/25c1001-02-1;25C1011-1/25C1000-04-1;25C1011-1/Shield Mount-1;25C1011-1/25C1006-1;25C1011-1/USB Hub CONTAINER-1;25C1012-1/25C1000-05-1;Spacer-2-4;Spacer-3;Spacer-2;Spacer-2-5;Spacer-2-6;Spacer-1;Spacer-4;Spacer-2-3;25C1003-2/DC Planet Geared Motor-1;25C1003-2/25c1001-02-1;Spacer-2-2;Spacer-5;Spacer-2-1;Wire Spacer Assembly-2-1/SpacerXHarness-1;Wire Spacer Assembly-2-1/SpacerXHarness Cover-2;Wire Spacer Assembly-2-1/SpacerXHarness Cover-1;LN M8-5;25C1001-04-5;Washer M8-35;25C1001-04-6;LN M8-6;Washer M8-36;Washer M8-1;LN M8-1;25C1001-04-1;Washer M8-34;LN M8-4;25C1001-04-4;LN M8-3;Washer M8-33;25C1001-04-3;Washer M8-32;LN M8-2;25C1001-04-2;HH M8X1.25-9;HH M8X1.25-8;Washer M8-9;Washer M8-10;HH M8X1.25-10;Washer M8-11;Washer M8-8;HH M8X1.25-7;Washer M8-7;HH M8X1.25-6;Washer M8-6;HH M8X1.25-5,Coordinate System1,Axis9,camera_joint,fixed,0.1335,-0.00020556,0.2257,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_motor_link,0.00798642968233698,-1.53544465665456E-18,0,0,0,0,0.0365559400762103,3.01327681839806E-05,-8.20240559215681E-21,-5.35914288737187E-21,1.63979555484106E-05,6.00196961851436E-21,1.63979555484106E-05,0,0,0,0,0,0,package://amr_urdf_v3/meshes/right_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/right_motor_link.STL,,25C1003-1/70mm Wheel-1,Coordinate System2,Axis1,right_motor_joint,continuous,0,-0.15773,-0.0299999999999993,0,0,-1.57079632679489,base_link,-1,0,0,300,300,,,,,,,,,,
left_motor_link,0.00798642968233701,9.04521983301436E-13,-1.17392207066302E-13,0,0,0,0.0365559400762103,3.01327681839806E-05,8.04028215445792E-22,1.87589665538517E-21,1.63979555484106E-05,9.47686957878753E-21,1.63979555484106E-05,0,0,0,0,0,0,package://amr_urdf_v3/meshes/left_motor_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/left_motor_link.STL,,25C1003-2/70mm Wheel-1,Coordinate System3,Axis2,left_motor_joint,continuous,0,0.157729999998498,-0.0300000000003936,0,0,1.5707963267949,base_link,-1,0,0,300,300,,,,,,,,,,
back_caster_swivel_link,1.38777878078145E-17,2.42739208054735E-17,-0.00859163496952492,0,0,0,0.0342071620853004,5.59165765821269E-06,5.99062099685569E-14,2.42813785033998E-21,4.62417593549193E-06,1.20669683067244E-20,6.14879674609405E-06,0,0,0,0,0,0,package://amr_urdf_v3/meshes/back_caster_swivel_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/back_caster_swivel_link.STL,,25C1014-1/25C1014-01-1;25C1014-1/25C1014-03-1,Coordinate System4,Axis3,back_caster_swivel_joint,continuous,-0.113,0,-0.02125,0,0,0,base_link,0,0,1,,,,,,,,,,,,
back_caster_wheel_link,-1.38777878078145E-17,-1.02104301768038E-18,0,0,0,0,0.00910029124350843,6.69349690057285E-07,-3.53100216598249E-21,1.25313985392662E-23,1.10476081341001E-06,1.70394260036174E-22,6.69349690057285E-07,0,0,0,0,0,0,package://amr_urdf_v3/meshes/back_caster_wheel_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/back_caster_wheel_link.STL,,25C1014-1/25c1014-02-1,Coordinate System5,Axis4,back_caster_wheel_joint,continuous,0,0,-0.02825,0,0,0,back_caster_swivel_link,0,-1,0,,,,,,,,,,,,
front_caster_swivel_link,-1.38777878078145E-17,-1.11242347561298E-17,-0.00859163496952491,0,0,0,0.0342071620853004,5.59165765821268E-06,5.99061993031957E-14,-1.9198369614391E-21,4.62417593549192E-06,-1.1528313380055E-20,6.14879674609405E-06,0,0,0,0,0,0,package://amr_urdf_v3/meshes/front_caster_swivel_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/front_caster_swivel_link.STL,,25C1014-2/25C1014-01-1;25C1014-2/25C1014-03-1,Coordinate System6,Axis5,front_caster_swivel_joint,continuous,0.113,0,-0.02125,0,0,0,base_link,0,0,1,,,,,,,,,,,,
front_caster_wheel_link,0,-9.12589751828138E-20,0,0,0,0,0.00910029124350843,6.69349690057285E-07,3.95110387068532E-22,9.85766645615961E-25,1.10476081341001E-06,1.68736474715625E-22,6.69349690057285E-07,0,0,0,0,0,0,package://amr_urdf_v3/meshes/front_caster_wheel_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/front_caster_wheel_link.STL,,25C1014-2/25c1014-02-1,Coordinate System7,Axis6,front_caster_wheel_joint,continuous,0,0,-0.02825,0,0,0,front_caster_swivel_link,0,-1,0,,,,,,,,,,,,
imu_link,8.83832534712359E-19,-1.68731665717814E-18,-0.00102130965190103,0,0,0,0.00514746084847653,7.93474008155527E-07,6.139231108792E-23,-1.51428536771307E-23,1.00625209716698E-06,-6.83596985419307E-24,1.78297175236149E-06,0,0,0,0,0,0,package://amr_urdf_v3/meshes/imu_link.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/imu_link.STL,,25C1011-1/LM6DS0 Mount-1/LM6DS0 Container-1,Coordinate System8,Axis7,imu_joint,fixed,0,0,0.148,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,-0.0119599422907501,0.000420457853612401,-0.0146806721706361,0,0,0,0.0729132747388752,1.81540410268974E-05,-3.13526570959607E-07,3.25184596662622E-07,2.39750540545773E-05,1.07178388102884E-08,3.9435616182922E-05,0,0,0,0,0,0,package://amr_urdf_v3/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/lidar_link.STL,,Part2^25C1000-URDF ASSM-1;25C1012-1/RPLIDAR A1M8-1,Coordinate System9,Axis8,lidar_joint,fixed,0.00699999999889178,0,0.25549999999896,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.0250710998831694,0.000537936695328088,-0.00614946362916749,0,0,0,0.0313336679699393,2.27202820665302E-05,-1.32703422540569E-07,-2.86292130544785E-07,4.32636813211046E-06,-4.54549299258422E-09,2.21282712614926E-05,0,0,0,0,0,0,package://amr_urdf_v3/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr_urdf_v3/meshes/camera_link.STL,,25C1012-1/HP60C Camera Mount-1/Part2^HP60C Camera Mount-1;25C1012-1/HP60C Camera Mount-1/Camera Mount-Container-1,Coordinate System10,Axis9,camera_joint,fixed,0.1335,-0.00020556,0.2257,0,0,0,base_link,0,0,0,,,,,,,,,,,,
